# Essentiels : nombres, jours, mois, heure, mesures, directions, expressions
@level 300

@theme tall Numbers and time
Jeg har null kroner. | J'ai zéro couronne. | I have zero kroner.
Hvor mange gram? | Combien de grammes ? | How many grams?
Det er ti gram sukker. | Il y a dix grammes de sucre. | There's ten grams of sugar.
En liter melk, takk. | Un litre de lait, s'il vous plaît. | A litre of milk, please.
Jeg drikker to liter vann hver dag. | Je bois deux litres d'eau par jour. | I drink two litres of water a day.
Hvor mange liter? | Combien de litres ? | How many litres?
Det er fem liter. | Ça fait cinq litres. | That's five litres.
Vi trenger ti liter. | Nous avons besoin de dix litres. | We need ten litres.
Det er hundre meter til butikken. | Le magasin est à cent mètres. | The shop is a hundred metres away.
Han er to meter høy. | Il mesure deux mètres. | He's two metres tall.
Gå ti meter til. | Avance encore de dix mètres. | Go ten more metres.
Hvor mange meter er det? | Ça fait combien de mètres ? | How many metres is it?
Rommet er fem meter langt. | La pièce fait cinq mètres de long. | The room is five metres long.
Det er ti prosent. | C'est dix pour cent. | It's ten per cent.
Hundre prosent sikker! | Sûr à cent pour cent ! | A hundred per cent sure!
Jeg jobber åtti prosent. | Je travaille à quatre-vingts pour cent. | I work eighty per cent.
Hun jobber femti prosent. | Elle travaille à cinquante pour cent. | She works fifty per cent.
Det er femti prosent av prisen. | C'est cinquante pour cent du prix. | It's fifty per cent of the price.

@theme folk Meeting people
Jeg snakker norsk og fransk. | Je parle norvégien et français. | I speak Norwegian and French.
Snakker du fransk? | Tu parles français ? | Do you speak French?
Mamma snakker bare fransk. | Maman ne parle que français. | Mum only speaks French.
Hun er fransk. | Elle est française. | She's French.
Snakker du engelsk? | Tu parles anglais ? | Do you speak English?
Jeg snakker litt engelsk. | Je parle un peu anglais. | I speak a little English.
Kan vi snakke engelsk? | On peut parler anglais ? | Can we speak English?
Han snakker godt engelsk. | Il parle bien anglais. | He speaks English well.
Si det på engelsk. | Dis-le en anglais. | Say it in English.
Jeg bor i Norge nå. | J'habite en Norvège maintenant. | I live in Norway now.
Hvor lenge har du vært i Norge? | Depuis combien de temps es-tu en Norvège ? | How long have you been in Norway?
Norge er et fint land. | La Norvège est un beau pays. | Norway is a nice country.
Jeg liker å bo i Norge. | J'aime vivre en Norvège. | I like living in Norway.
Familien min er i Frankrike. | Ma famille est en France. | My family is in France.
Jeg drar til Frankrike i sommer. | Je vais en France cet été. | I'm going to France this summer.
Har du vært i Frankrike? | Tu es allé en France ? | Have you been to France?
[Ha det]! Vi ses. | Salut ! À plus. | Bye! See you.
[Ha det], jeg må gå. | Salut, je dois y aller. | Bye, I have to go.
[Ha det], og takk for hjelpen! | Au revoir, et merci pour l'aide ! | Bye, and thanks for the help!
[Ha det], vi snakkes! | Salut, on se parle ! | Bye, talk soon!
[Ha det bra], og lykke til! | Au revoir, et bonne chance ! | Take care, and good luck!
[Ha det bra] i Frankrike! | Bon séjour en France ! | Have a good time in France!
[Ha det bra], vi ses [i morgen]. | Au revoir, à demain. | Take care, see you tomorrow.
[Ha det bra], mamma! | Au revoir, maman ! | Bye, Mum!
[Vi ses] [i kveld]! | À ce soir ! | See you tonight!
[Vi ses] på jobb. | On se voit au travail. | See you at work.
[God morgen], alle sammen! | Bonjour tout le monde ! | Good morning, everyone!
[God morgen], hvordan går det? | Bonjour, comment ça va ? | Good morning, how are you?
[God morgen], sjef! | Bonjour, chef ! | Good morning, boss!
[God morgen], er du klar? | Bonjour, tu es prêt ? | Good morning, are you ready?
[God dag], jeg heter *Anne. | Bonjour, je m'appelle Anne. | Good day, my name is Anne.
[God dag], kan jeg hjelpe deg? | Bonjour, je peux vous aider ? | Good day, can I help you?
[God dag] og velkommen! | Bonjour et bienvenue ! | Good day and welcome!
[God dag], hva kan jeg gjøre for deg? | Bonjour, que puis-je faire pour vous ? | Good day, what can I do for you?
[God dag], jeg ringer om jobben. | Bonjour, j'appelle pour le travail. | Good day, I'm calling about the job.
[God kveld]! Vil dere sitte her? | Bonsoir ! Vous voulez vous asseoir ici ? | Good evening! Would you like to sit here?
[God kveld], og velkommen! | Bonsoir, et bienvenue ! | Good evening, and welcome!
[God kveld], hvordan går det? | Bonsoir, comment ça va ? | Good evening, how are you?
[God kveld], har dere bestilt? | Bonsoir, vous avez réservé ? | Good evening, have you booked?
[God kveld] til alle! | Bonsoir à tous ! | Good evening, everyone!
[God natt], vi ses [i morgen]. | Bonne nuit, à demain. | Good night, see you tomorrow.
[God natt], barn! | Bonne nuit, les enfants ! | Good night, children!
Si [god natt] til pappa. | Dis bonne nuit à papa. | Say good night to Dad.
[Takk for maten], det var godt! | Merci pour le repas, c'était bon ! | Thanks for the meal, it was good!
[Takk for maten], mamma! | Merci pour le repas, maman ! | Thanks for the meal, Mum!
Barna sier [takk for maten]. | Les enfants disent merci pour le repas. | The children say thanks for the meal.
Husk å si [takk for maten]. | N'oublie pas de dire merci pour le repas. | Remember to say thanks for the meal.
[Takk for maten]! [Velkommen] skal du være. | Merci pour le repas ! Je t'en prie. | Thanks for the meal! You're welcome.
Kan du hjelpe meg, [vær så snill]? | Tu peux m'aider, s'il te plaît ? | Can you help me, please?
[Vær så snill], snakk litt saktere. | S'il te plaît, parle un peu plus lentement. | Please speak a bit more slowly.
[Vær så snill], kom hit. | S'il te plaît, viens ici. | Please come here.
Gi meg den, [vær så snill]. | Donne-le-moi, s'il te plaît. | Give it to me, please.
[Vær så snill], vent litt. | S'il te plaît, attends un peu. | Please wait a bit.
[Værsågod], her er maten. | Voilà, voici le repas. | Here you are, here's the food.
[Værsågod], sett deg! | Je t'en prie, assieds-toi ! | Please, sit down!
[Værsågod], det er til deg. | Tiens, c'est pour toi. | Here you go, it's for you.
Maten er klar, [værsågod]! | Le repas est prêt, servez-vous ! | Dinner's ready, help yourselves!
[Værsågod], kom inn! | Je vous en prie, entrez ! | Please, come in!
[Takk skal du ha]! | Merci beaucoup ! | Thank you very much!
[Takk skal du ha] for hjelpen. | Merci beaucoup pour l'aide. | Thank you very much for the help.
Det var snilt, [takk skal du ha]. | C'était gentil, merci beaucoup. | That was kind, thank you very much.
[Takk skal du ha], det var godt. | Merci beaucoup, c'était bon. | Thank you very much, it was good.
[Takk skal du ha], vi ses! | Merci beaucoup, à plus ! | Thanks a lot, see you!
[Tusen takk] for i dag! | Merci beaucoup pour aujourd'hui ! | Thanks a lot for today!
[Tusen takk], det var snilt. | Mille mercis, c'était gentil. | Thanks so much, that was kind.
[Tusen takk] for gaven! | Mille mercis pour le cadeau ! | Thanks a lot for the present!
[Tusen takk] for maten! | Merci beaucoup pour le repas ! | Thanks a lot for the food!
[Tusen takk] for alt! | Merci pour tout ! | Thanks for everything!
Takk! – [Ingen årsak]. | Merci ! – De rien. | Thanks! – You're welcome.
[Ingen årsak], det var lite. | De rien, ce n'était rien. | You're welcome, it was nothing.
[Ingen årsak], jeg hjelper gjerne. | De rien, j'aide volontiers. | Not at all, I'm happy to help.
Tusen takk! – [Ingen årsak]! | Mille mercis ! – De rien ! | Thanks so much! – You're welcome!
[Ingen årsak], vi ses! | De rien, à plus ! | You're welcome, see you!
[Velkommen] til Norge! | Bienvenue en Norvège ! | Welcome to Norway!
[Velkommen] til oss! | Bienvenue chez nous ! | Welcome to our place!
[Velkommen] til *Rollag! | Bienvenue à Rollag ! | Welcome to Rollag!
Hei, [hvordan går det]? | Salut, comment ça va ? | Hi, how's it going?
[Hvordan går det] på jobben? | Comment ça va au travail ? | How's it going at work?
[Hvordan går det] med familien? | Comment va la famille ? | How's the family?
[Hvordan går det] med norsk? | Comment ça va avec le norvégien ? | How's your Norwegian going?
[Bare bra], takk! | Ça va bien, merci ! | Fine, thanks!
[Bare bra], og med deg? | Ça va bien, et toi ? | Fine, and you?
Hvordan har du det? – [Bare bra]. | Comment vas-tu ? – Bien. | How are you? – Fine.
[Bare bra], takk som spør. | Ça va, merci de demander. | Fine, thanks for asking.
Det går [bare bra]. | Ça va très bien. | It's going just fine.
[Jeg forstår ikke] hva du sier. | Je ne comprends pas ce que tu dis. | I don't understand what you're saying.
[Jeg forstår ikke] det ordet. | Je ne comprends pas ce mot. | I don't understand that word.
Beklager, [jeg forstår ikke] norsk så godt. | Désolé, je ne comprends pas très bien le norvégien. | Sorry, I don't understand Norwegian very well.
[Jeg forstår ikke], kan du si det igjen? | Je ne comprends pas, tu peux répéter ? | I don't understand, can you say it again?
[Kan du si det igjen], takk? | Tu peux répéter, s'il te plaît ? | Can you say that again, please?
Unnskyld, [kan du si det igjen]? | Pardon, tu peux répéter ? | Sorry, can you say that again?
[Kan du si det igjen] litt saktere? | Tu peux le redire un peu plus lentement ? | Can you say it again a bit more slowly?
[Kan du si det igjen]? Jeg hørte ikke. | Tu peux répéter ? Je n'ai pas entendu. | Can you say it again? I didn't hear.
Hva? [Kan du si det igjen]? | Quoi ? Tu peux répéter ? | What? Can you say that again?
[Snakk sakte], takk. | Parle lentement, s'il te plaît. | Speak slowly, please.
[Snakk sakte], jeg er ny her. | Parle lentement, je suis nouveau ici. | Speak slowly, I'm new here.
[Snakk sakte], så forstår jeg. | Parle lentement, comme ça je comprends. | Speak slowly and I'll understand.
[Snakk sakte], [vær så snill]. | Parle lentement, s'il te plaît. | Speak slowly, please.
Hei, [hva heter du]? | Salut, comment tu t'appelles ? | Hi, what's your name?
[Hva heter du]? Jeg heter *Ole. | Comment tu t'appelles ? Je m'appelle Ole. | What's your name? I'm Ole.
[Hva heter du], og hvor kommer du fra? | Comment tu t'appelles, et d'où viens-tu ? | What's your name, and where are you from?
[Hva heter du] på norsk? | Comment tu t'appelles en norvégien ? | What's your name in Norwegian?
Hei, [jeg heter] *Marie. | Salut, je m'appelle Marie. | Hi, my name is Marie.
[Jeg heter] *Paul, og jeg er fra Frankrike. | Je m'appelle Paul et je suis français. | I'm Paul, and I'm from France.
[Jeg heter] *Tom. Og du? | Je m'appelle Tom. Et toi ? | I'm Tom. And you?
[Jeg heter] *Lise, jeg er ny her. | Je m'appelle Lise, je suis nouvelle ici. | My name is Lise, I'm new here.
[Unnskyld meg], kan jeg komme forbi? | Excusez-moi, je peux passer ? | Excuse me, can I get past?
[Unnskyld meg], hvor er toalettet? | Excusez-moi, où sont les toilettes ? | Excuse me, where is the toilet?
[Unnskyld meg], er denne plassen ledig? | Excusez-moi, cette place est libre ? | Excuse me, is this seat free?
[Unnskyld meg], jeg må gå. | Excusez-moi, je dois y aller. | Excuse me, I have to go.
[Unnskyld meg], er du *Per? | Excusez-moi, vous êtes Per ? | Excuse me, are you Per?
[Selv om] det er kaldt, går vi ut. | Même s'il fait froid, on sort. | Even though it's cold, we're going out.
[Selv om] jeg er trøtt, jobber jeg. | Même si je suis fatigué, je travaille. | Even though I'm tired, I work.
Jeg kommer, [selv om] jeg er sen. | Je viens, même si je suis en retard. | I'm coming, even if I'm late.
[Selv om] det er vanskelig, prøver jeg. | Même si c'est difficile, j'essaie. | Even though it's difficult, I try.
Hun smiler, [selv om] hun er lei seg. | Elle sourit, même si elle est triste. | She smiles, even though she's sad.
Jeg liker norsk mat, [for eksempel] fisk. | J'aime la cuisine norvégienne, par exemple le poisson. | I like Norwegian food, for example fish.
Du kan [for eksempel] ringe ham. | Tu peux par exemple l'appeler. | You could call him, for example.
[For eksempel] kan vi møtes på fredag. | Par exemple, on peut se voir vendredi. | For example, we could meet on Friday.
Mange ord er like, [for eksempel] «hus». | Beaucoup de mots se ressemblent, par exemple « hus ». | Many words are similar, for example "hus".
Er alt [i orden]? | Tout va bien ? | Is everything OK?
Det er [i orden], takk. | C'est bon, merci. | It's all right, thanks.
Rommet er [i orden] nå. | La chambre est en ordre maintenant. | The room is in order now.
Ja, det er helt [i orden]. | Oui, c'est tout à fait en ordre. | Yes, that's perfectly fine.
Alt er [i orden] her. | Tout est en ordre ici. | Everything's in order here.
Kom hit [med en gang]! | Viens ici tout de suite ! | Come here right away!
Jeg gjør det [med en gang]. | Je le fais tout de suite. | I'll do it right away.
Han svarte [med en gang]. | Il a répondu tout de suite. | He answered at once.
Kan du komme [med en gang]? | Tu peux venir tout de suite ? | Can you come right away?
Hun forsto det [med en gang]. | Elle l'a compris tout de suite. | She understood it at once.
[Noen ganger] jobber jeg om natta. | Parfois je travaille la nuit. | Sometimes I work at night.
[Noen ganger] er det vanskelig. | Parfois c'est difficile. | Sometimes it's difficult.
Vi ses [noen ganger] i byen. | On se voit parfois en ville. | We sometimes see each other in town.
[Noen ganger] forstår jeg ingenting. | Parfois je ne comprends rien. | Sometimes I don't understand anything.
Han ringer [noen ganger]. | Il appelle parfois. | He calls sometimes.
[Hva slags] jobb har du? | Quel genre de travail as-tu ? | What kind of job do you have?
[Hva slags] mat liker du? | Quel genre de cuisine aimes-tu ? | What kind of food do you like?
[Hva slags] bil har du? | Quelle sorte de voiture as-tu ? | What kind of car do you have?
[Hva slags] musikk liker du? | Quel genre de musique aimes-tu ? | What kind of music do you like?
[Hva slags] hus bor dere i? | Dans quel genre de maison habitez-vous ? | What kind of house do you live in?
